"id";"created";"changed";"archived";"Artist";"Title";"Record Label(s)";"Year Of Release";"Format";"Genre";"Sub-Genre";"Notes";"Status";"Condition";"Info / Notes / Links";"CanCon?"

"4860";"2010-09-26 21:46:06";"2010-09-26 21:46:06";" ";"Abe Vigoda";"Crush";"Post Present Medium";"2010";"CD";"Rock / Pop";"-";" ";"On Playlist";"New";"cold wave music with creepy monophonic vocals overtop distorted, crushed guitars and synths and some simplistic drum-machine beats. g od for my public shame and white lodge/black lodge";"No"
"2";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"A Fish Called Piranha";"The Year Of The Fish";"Non-Fiction";"2010";"CD";"CanRock";"Alt-rock";" ";"Playlist";"New";"loud alternative rock with walls of guitar, big drum sounds and distorted vocals";"Yes"
"3";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Arcade Fire";"The Suburbs";"Merge";"2010";"CD";"CanRock";"Indie pop / Folk / Experimental";" ";"Playlist";"New";"pop songs with a great beat for indie dance parties and teen sentiments out the whazoo";"Yes"
"4";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Balacade";"Specific, Northwest";"Self-Released";"2010";"CD";"CanRock";"-";" ";"Playlist";"New";"darlingly, delightful indie-pop love ballads... the soundtrack for you life, really. good for music to my ears and william tell";"Yes"
"5";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Birthday Cakes, The";"Expansion Pack";"Ladyboy";"2010";"CD";"CanRock";"Electro / Metal / Punk";" ";"Playlist";"New";"comical metal/rock band. blips, boops, crazy neon. great for mind graps. awesome for my allergy to the fans as well";"Yes"
"6";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Butterflies & Zebras";"Butterflies & Zebras";"Self-Released";"2010";"CD";"CanRock";"Psychedelic / Instrumental / Ambient";" ";"Playlist";"New";"this band creates psychedelic, instrumental ambience. the sounds are super spaced out and create something to get lost in on a long afternoon. pretty good for katharsis or attention surplus disorder";"Yes"
"7";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Buxton, D.B.";"Dirty Dance Party";"Little Whore";"2010";"CD";"CanRock";" ";" ";"Playlist";"New";"ridiculously cheesy music up the alley of har mar superstar with ridiculous casio sounds creating a dirty dance party indeed. a ton of fun. good for 2 and 2 ain't 5";"Yes"
"8";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Central Nervous System, The";"The Central Nervous System";"Self-Released";"2010";"CD";"CanRock";"Electro rock";" ";"Playlist";"New";"electro-rock with some good beats and some cool effects. the vocals and song structure remind me a little bit of sloan. there are a few fun songs that twilight banter might get a kick out of.";"Yes"
"9";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Chenaux, Eric";"Warm Weather With Ryan Driver";"Constellation";"2010";"CD";"CanRock";"-";" ";"On Playlist";"New";"a simple collection of brilliant songwriting with a french flair and a dash of interesting electronic drones. Good for the mornings. (http://www.myspace.com/ericchenaux)";"Yes"
"10";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Chilly Gonzales";"Ivory Tower";"Arts & Crafts";"2010";"CD";"CanRock";"-";" ";"On Playlist";"New";"hitting pretty much every genre, gonzales shows a flare for songwriting and composition.";"Yes"
"11";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Common Grackle";"The Great Depression";"Fake Four Inc.";"2010";"CD";"CanRock";"-";" ";"Playlist";"New";"a playful and incredibly diverse collection of indie-pop with really intelligent songwriting. good for advance cassette";"Yes"
"12";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Consonance, The";"Come The Day";"Self-Released";"2010";"CD";"CanRock";"Soul / Jazz rock";" ";"Playlist";"New";"very jazz-influenced soul/rock record. features female vocals with the odd male vocal rap. a slight twist in another direction and this would be a full-blown jazz cd";"Yes"
"13";"2010-09-26 21:26:58";"2010-09-26 21:26:58";" ";"Cowlick";"Wires";"Self-Released";"2010";"CD";"CanRock";"-";" ";"On Playlist";"New";"intense, hella-loud rock that has more twists and turns than disneyland. some songs have rap over raw punk rock then the next will settle into loose country rock. settle in for a good ride. (http://www.cowlick.ca/rock.html)";"Yes"
